Date,Trip_Count
2023-10-22,32089
2023-10-23,78977
2023-10-24,58864
2023-10-25,58792
2023-10-26,57639
2023-10-27,56775
2023-10-28,30699
2023-10-29,24364
2023-10-30,59204
2023-10-31,59664
2023-11-01,59406
2023-11-02,57561
2023-11-03,56990
2023-11-04,30814
2023-11-05,32091
2023-11-06,78986
2023-11-07,78882
2023-11-08,79087
2023-11-09,77018
2023-11-10,76267
2023-11-11,41049
2023-11-12,32115
2023-11-13,78889
2023-11-14,79718
2023-11-15,80482
2023-11-16,78618
2023-11-17,78418
2023-11-18,42081
2023-11-19,33112
2023-11-20,82290
2023-11-21,62427
2023-11-22,63147
2023-11-23,61440
2023-11-24,61498
2023-11-25,33699
2023-11-26,25837
2023-11-27,64980
2023-11-28,65578
2023-11-29,65674
2023-11-30,64793
2023-12-01,64125
2023-12-02,34850
2023-12-03,27518
2023-12-04,68311
2023-12-05,54583
2023-12-06,54998
2023-12-07,54232
2023-12-08,43735
2023-12-09,22419
2023-12-10,28159
2023-12-11,66299
2023-12-12,62908
2023-12-13,60220
2023-12-14,56076
2023-12-15,52661
2023-12-16,26812
2023-12-17,19722
2023-12-18,26972
2023-12-19,42756
2023-12-20,39786
2023-12-21,36161
2023-12-22,32944
2023-12-23,17858
2023-12-24,13707
2023-12-25,33699
2023-12-26,33560
2023-12-27,33603
2023-12-28,32999
2023-12-29,32100
2023-12-30,17051
2023-12-31,13293
2024-01-01,32816
2024-01-02,32842
2024-01-03,32788
2024-01-04,19161
2024-01-05,18852
2024-01-06,10340
2024-01-07,7958
2024-01-08,42675
2024-01-09,42346
2024-01-10,42635
2024-01-11,41443
2024-01-12,40912
2024-01-13,22285
2024-01-14,17655
2024-01-15,42664
2024-01-16,71092
2024-01-17,71266
2024-01-18,69168
2024-01-19,68835
2024-01-20,37053
2024-01-21,28898
2024-01-22,71204
2024-01-23,71188
2024-01-24,71214
2024-01-25,69215
2024-01-26,68654
2024-01-27,36765
2024-01-28,28956
2024-01-29,71026
2024-01-30,71193
2024-01-31,71228
2024-02-01,69363
2024-02-02,68444
2024-02-03,36996
2024-02-04,28829
2024-02-05,71158
2024-02-06,70846
2024-02-07,71124
2024-02-08,69351
2024-02-09,68449
2024-02-10,36918
2024-02-11,28855
2024-02-12,70958
2024-02-13,71307
2024-02-14,71323
2024-02-15,69199
2024-02-16,68242
2024-02-17,37030
2024-02-18,28679
2024-02-19,70833
2024-02-20,72028
2024-02-21,72905
2024-02-22,71271
2024-02-23,71264
2024-02-24,38400
2024-02-25,29880
2024-02-26,73894
2024-02-27,73826
2024-02-28,73988
2024-02-29,72208
2024-03-01,71259
2024-03-02,38284
2024-03-03,30098
2024-03-04,74666
2024-03-05,74323
2024-03-06,74477
2024-03-07,72887
2024-03-08,72292
2024-03-09,38907
2024-03-10,30506
2024-03-11,75533
2024-03-12,75404
2024-03-13,75440
2024-03-14,73728
2024-03-15,73323
2024-03-16,39475
2024-03-17,31050
2024-03-18,77471
2024-03-19,78042
2024-03-20,79348
2024-03-21,78096
2024-03-22,77921
2024-03-23,42411
2024-03-24,33381
2024-03-25,83679
2024-03-26,84434
2024-03-27,85281
2024-03-28,83776
2024-03-29,83617
2024-03-30,45331
